Provinces,year,House Prices,Kilotonnes,Crime/100000,Immigration Totals,Med Imm Wages,Household Income,Population
Canada/Totals,2015,,766744,69970.6,206105,31200,3406089,142712260
Canada/Totals,2016,,741903,71236.01,207080,32100,3405282,144209652
Canada/Totals,2017,,756590,70996.29,207825,33700,3479555,145978571
Canada/Totals,2018,,771446,72155.62,210185,35700,3525571,148012308
Canada/Totals,2019,,771813,77563.35,212485,36900,3609093,150160810
Newfoundland,2015,299300,11299,6370.75,390,35200,341412,2113237
Newfoundland,2016,298800,11636,6500.63,345,40700,342472,2117189
Newfoundland,2017,294900,11505,6042.04,285,45600,343966,2114428
Newfoundland,2018,285000,11337,6041.56,300,45100,346836,2105228
Newfoundland,2019,272700,11277,6686.65,300,47100,349654,2096208
PEI,2015,204200,1584,4750.04,325,17500,292544,578067
PEI,2016,214700,1712,5012.62,325,23200,292419,585891
PEI,2017,240400,1762,4713.37,325,22300,299369,598819
PEI,2018,266400,1767,5391.93,330,21500,300355,612103
PEI,2019,277300,1799,6279.33,280,27500,310472,627367
Nova Scotia,2015,256100,17797,5727.24,1500,31600,307708,3749412
Nova Scotia,2016,261800,16613,5589.79,1440,32000,307157,3767892
Nova Scotia,2017,272100,17126,5731.87,1440,33100,313948,3797118
Nova Scotia,2018,275700,17709,5685.69,1435,35200,320594,3830309
Nova Scotia,2019,282700,17027,5873.28,1415,36100,325800,3876364
New Brunswick,2015,199800,17835,5478.74,900,25400,289735,3037185
New Brunswick,2016,207800,18723,5276.22,900,31300,294947,3051063
New Brunswick,2017,208200,17629,5753.3,880,32500,302207,3063986
New Brunswick,2018,214800,17648,6055.68,880,31800,306908,3079425
New Brunswick,2019,218100,16833,6752.37,900,31900,313579,3104622
Quebec,2015,305800,90142,4252.49,34705,28900,289963,32691481
Quebec,2016,316000,88569,4232.93,34530,30400,296890,32873351
Quebec,2017,327900,90580,4329.65,34440,32500,304121,33168867
Quebec,2018,341000,91805,4164.85,34805,34500,313097,33554595
Quebec,2019,359600,92857,4065.71,35240,36500,323801,33960015
Ontario,2015,455000,168636,4021.58,91440,29200,362292,54792403
Ontario,2016,515200,165764,4090.89,92575,30500,367032,55411999
Ontario,2017,600300,164381,4259.47,93480,31900,376356,56199095
Ontario,2018,606600,169954,4509.15,94990,34500,385421,57124073
Ontario,2019,630600,170001,4544.1,96210,35300,397097,58077322
Manitoba,2015,283000,20876,8925.91,9350,32700,342048,5164103
Manitoba,2016,288800,21317,9507.82,9370,33500,344942,5244283
Manitoba,2017,297400,21879,9758.09,9290,34400,356258,5327896
Manitoba,2018,300000,22753,9998.34,9330,35000,358968,5402266
Manitoba,2019,305200,22375,10863.72,9275,35700,366168,5470522
Saskatchewan,2015,332600,76312,12919.2,5605,39500,376933,4482873
Saskatchewan,2016,332700,72437,13510.63,5615,38800,371777,4535597
Saskatchewan,2017,329900,75669,12983.31,5555,39900,377344,4594617
Saskatchewan,2018,326400,75911,12665.28,5490,40700,377657,4642806
Saskatchewan,2019,321700,73865,12897.62,5530,41300,382286,4686750
Alberta,2015,432800,278925,8916.56,28465,41100,457156,16548357
Alberta,2016,425900,261747,9025.97,28360,40600,436067,16756614
Alberta,2017,429800,271617,9335.17,28320,41100,443475,16945119
Alberta,2018,428500,276347,9392.19,28565,42400,447687,17166499
Alberta,2019,420900,278980,10026.65,29015,43100,455768,17422845
BC,2015,610000,80171,8608.09,33105,28800,346298,19082570
BC,2016,717600,80291,8488.51,33290,30700,351579,19386872
BC,2017,775400,81521,8090.02,33495,32500,362511,19681992
BC,2018,816300,83054,8250.95,33725,34400,368048,20001433
BC,2019,785500,83628,9573.92,33975,36400,384468,20339311
