Year,Province,Immigrant_median_income
2010,Canada,20900
2011,Canada,23600
2012,Canada,25900
2013,Canada,27900
2014,Canada,29400
2015,Canada,31200
2016,Canada,32100
2017,Canada,33700
2018,Canada,35700
2019,Canada,36900
2010,NL,23300
2011,NL,29500
2012,NL,34700
2013,NL,31700
2014,NL,36300
2015,NL,35200
2016,NL,40700
2017,NL,45600
2018,NL,45100
2019,NL,47100
2010,PEI,15500
2011,PEI,14400
2012,PEI,13900
2013,PEI,15600
2014,PEI,17100
2015,PEI,17500
2016,PEI,23200
2017,PEI,22300
2018,PEI,21500
2019,PEI,27500
2010,NS,23100
2011,NS,26400
2012,NS,28200
2013,NS,30300
2014,NS,29700
2015,NS,31600
2016,NS,32000
2017,NS,33100
2018,NS,35200
2019,NS,36100
2010,NB,22200
2011,NB,23600
2012,NB,25000
2013,NB,24300
2014,NB,25200
2015,NB,25400
2016,NB,31300
2017,NB,32500
2018,NB,31800
2019,NB,31900
2010,QC,17000
2011,QC,20000
2012,QC,22700
2013,QC,25400
2014,QC,27200
2015,QC,28900
2016,QC,30400
2017,QC,32500
2018,QC,34500
2019,QC,36500
2010,ONT,19400
2011,ONT,22400
2012,ONT,24100
2013,ONT,25700
2014,ONT,27100
2015,ONT,29200
2016,ONT,30500
2017,ONT,31900
2018,ONT,34500
2019,ONT,35300
2010,MB,23500
2011,MB,26700
2012,MB,28700
2013,MB,30300
2014,MB,31300
2015,MB,32700
2016,MB,33500
2017,MB,34400
2018,MB,35000
2019,MB,35700
2010,SK,28400
2011,SK,31800
2012,SK,34800
2013,SK,35800
2014,SK,38100
2015,SK,39500
2016,SK,38800
2017,SK,39900
2018,SK,40700
2019,SK,41300
2010,AB,28700
2011,AB,33100
2012,AB,36900
2013,AB,39300
2014,AB,40900
2015,AB,41100
2016,AB,40600
2017,AB,41100
2018,AB,42400
2019,AB,43100
2010,BC,20200
2011,BC,21900
2012,BC,23900
2013,BC,26000
2014,BC,27100
2015,BC,28800
2016,BC,30700
2017,BC,32500
2018,BC,34400
2019,BC,36400
2010,NWT,37200
2011,NWT,37600
2012,NWT,42200
2013,NWT,42400
2014,NWT,42100
2015,NWT,45900
2016,NWT,49900
2017,NWT,53000
2018,NWT,58300
2019,NWT,60100
