year,Provinces,House Prices,Kilotonnes,Crime,Immigration_Totals,Med_Imm_Wages,Household_Income,Population
2015,Canada/Totals,3378600,766744,69971,206105,31200,3406089,142712260
2016,Canada/Totals,3579300,741903,71236,207080,32100,3405282,144209652
2017,Canada/Totals,3776300,756590,70996,207825,33700,3479555,145978571
2018,Canada/Totals,3860700,771446,72156,210185,35700,3525571,148012308
2019,Canada/Totals,3874300,771813,77563,212485,36900,3609093,150160810
2015,Newfoundland,299300,11299,6371,390,35200,341412,2113237
2016,Newfoundland,298800,11636,6501,345,40700,342472,2117189
2017,Newfoundland,294900,11505,6042,285,45600,343966,2114428
2018,Newfoundland,285000,11337,6042,300,45100,346836,2105228
2019,Newfoundland,272700,11277,6687,300,47100,349654,2096208
2015,PEI,204200,1584,4750,325,17500,292544,578067
2016,PEI,214700,1712,5013,325,23200,292419,585891
2017,PEI,240400,1762,4713,325,22300,299369,598819
2018,PEI,266400,1767,5392,330,21500,300355,612103
2019,PEI,277300,1799,6279,280,27500,310472,627367
2015,Nova Scotia,256100,17797,5727,1500,31600,307708,3749412
2016,Nova Scotia,261800,16613,5590,1440,32000,307157,3767892
2017,Nova Scotia,272100,17126,5732,1440,33100,313948,3797118
2018,Nova Scotia,275700,17709,5686,1435,35200,320594,3830309
2019,Nova Scotia,282700,17027,5873,1415,36100,325800,3876364
2015,New Brunswick,199800,17835,5479,900,25400,289735,3037185
2016,New Brunswick,207800,18723,5276,900,31300,294947,3051063
2017,New Brunswick,208200,17629,5753,880,32500,302207,3063986
2018,New Brunswick,214800,17648,6056,880,31800,306908,3079425
2019,New Brunswick,218100,16833,6752,900,31900,313579,3104622
2015,Quebec,305800,90142,4252,34705,28900,289963,32691481
2016,Quebec,316000,88569,4233,34530,30400,296890,32873351
2017,Quebec,327900,90580,4330,34440,32500,304121,33168867
2018,Quebec,341000,91805,4165,34805,34500,313097,33554595
2019,Quebec,359600,92857,4066,35240,36500,323801,33960015
2015,Ontario,455000,168636,4022,91440,29200,362292,54792403
2016,Ontario,515200,165764,4091,92575,30500,367032,55411999
2017,Ontario,600300,164381,4259,93480,31900,376356,56199095
2018,Ontario,606600,169954,4509,94990,34500,385421,57124073
2019,Ontario,630600,170001,4544,96210,35300,397097,58077322
2015,Manitoba,283000,20876,8926,9350,32700,342048,5164103
2016,Manitoba,288800,21317,9508,9370,33500,344942,5244283
2017,Manitoba,297400,21879,9758,9290,34400,356258,5327896
2018,Manitoba,300000,22753,9998,9330,35000,358968,5402266
2019,Manitoba,305200,22375,10864,9275,35700,366168,5470522
2015,Saskatchewan,332600,76312,12919,5605,39500,376933,4482873
2016,Saskatchewan,332700,72437,13511,5615,38800,371777,4535597
2017,Saskatchewan,329900,75669,12983,5555,39900,377344,4594617
2018,Saskatchewan,326400,75911,12665,5490,40700,377657,4642806
2019,Saskatchewan,321700,73865,12898,5530,41300,382286,4686750
2015,Alberta,432800,278925,8917,28465,41100,457156,16548357
2016,Alberta,425900,261747,9026,28360,40600,436067,16756614
2017,Alberta,429800,271617,9335,28320,41100,443475,16945119
2018,Alberta,428500,276347,9392,28565,42400,447687,17166499
2019,Alberta,420900,278980,10027,29015,43100,455768,17422845
2015,BC,610000,80171,8608,33105,28800,346298,19082570
2016,BC,717600,80291,8489,33290,30700,351579,19386872
2017,BC,775400,81521,8090,33495,32500,362511,19681992
2018,BC,816300,83054,8251,33725,34400,368048,20001433
2019,BC,785500,83628,9574,33975,36400,384468,20339311
