Year,Province,Avg_price
2015,AB,432800
2015,BC,610000
2015,MB,283000
2015,NB,199800
2015,NL,299300
2015,NS,256100
2015,ONT,455000
2015,PEI,204200
2015,QC,305800
2015,SK,332600
2016,AB,425900
2016,BC,717600
2016,MB,288800
2016,NB,207800
2016,NL,298800
2016,NS,261800
2016,ONT,515200
2016,PEI,214700
2016,QC,316000
2016,SK,332700
2017,AB,429800
2017,BC,775400
2017,MB,297400
2017,NB,208200
2017,NL,294900
2017,NS,272100
2017,ONT,600300
2017,PEI,240400
2017,QC,327900
2017,SK,329900
2018,AB,428500
2018,BC,816300
2018,MB,300000
2018,NB,214800
2018,NL,285000
2018,NS,275700
2018,ONT,606600
2018,PEI,266400
2018,QC,341000
2018,SK,326400
2019,AB,420900
2019,BC,785500
2019,MB,305200
2019,NB,218100
2019,NL,272700
2019,NS,282700
2019,ONT,630600
2019,PEI,277300
2019,QC,359600
2019,SK,321700
2020,AB,420900
2020,BC,848200
2020,MB,314400
2020,NB,222700
2020,NL,271600
2020,NS,305000
2020,ONT,705000
2020,PEI,312400
2020,QC,396100
2020,SK,323700
2021,AB,417500
2021,BC,887800
2021,MB,318100
2021,NB,217100
2021,NL,289000
2021,NS,271800
2021,ONT,863800
2021,PEI,260600
2021,QC,421400
2021,SK,274000
