Year,Province,Crime_rate
2015,AB,8917
2016,AB,9026
2017,AB,9335
2018,AB,9392
2019,AB,10027
2015,BC,8608
2016,BC,8489
2017,BC,8090
2018,BC,8251
2019,BC,9574
2015,MB,8926
2016,MB,9508
2017,MB,9758
2018,MB,9998
2019,MB,10864
2015,NB,5479
2016,NB,5276
2017,NB,5753
2018,NB,6056
2019,NB,6752
2015,NL,6371
2016,NL,6501
2017,NL,6042
2018,NL,6042
2019,NL,6687
2015,NS,5727
2016,NS,5590
2017,NS,5732
2018,NS,5686
2019,NS,5873
2015,ONT,4022
2016,ONT,4091
2017,ONT,4259
2018,ONT,4509
2019,ONT,4544
2015,PEI,4750
2016,PEI,5013
2017,PEI,4713
2018,PEI,5392
2019,PEI,6279
2015,QC,4252
2016,QC,4233
2017,QC,4330
2018,QC,4165
2019,QC,4066
2015,SK,12919
2016,SK,13511
2017,SK,12983
2018,SK,12665
2019,SK,12898
