Year,Province,Immigrants,Refugees
2010,Canada,167810,22925
2011,Canada,173155,23580
2012,Canada,176885,24200
2013,Canada,179535,24790
2014,Canada,180040,25370
2015,Canada,180235,25870
2016,Canada,180765,26315
2017,Canada,181045,26780
2018,Canada,182750,27435
2019,Canada,184460,28025
2010,NL,335,85
2011,NL,325,85
2012,NL,320,85
2013,NL,315,65
2014,NL,305,75
2015,NL,315,75
2016,NL,300,45
2017,NL,260,25
2018,NL,265,35
2019,NL,260,40
2010,PEI,375,70
2011,PEI,325,80
2012,PEI,295,80
2013,PEI,285,70
2014,PEI,275,70
2015,PEI,255,70
2016,PEI,255,70
2017,PEI,250,75
2018,PEI,255,75
2019,PEI,220,60
2010,NS,1365,180
2011,NS,1395,185
2012,NS,1405,175
2013,NS,1370,175
2014,NS,1350,175
2015,NS,1325,175
2016,NS,1290,150
2017,NS,1295,145
2018,NS,1300,135
2019,NS,1300,115
2010,NB,980,125
2011,NB,970,115
2012,NB,960,120
2013,NB,880,110
2014,NB,845,110
2015,NB,800,100
2016,NB,805,95
2017,NB,800,80
2018,NB,800,80
2019,NB,815,85
2010,QC,31695,3565
2011,QC,32065,3630
2012,QC,32230,3640
2013,QC,32090,3620
2014,QC,31760,3610
2015,QC,31240,3465
2016,QC,31065,3465
2017,QC,30905,3535
2018,QC,31170,3635
2019,QC,31550,3690
2010,ONT,71415,12345
2011,ONT,74150,12685
2012,ONT,75840,13045
2013,ONT,77030,13335
2014,ONT,77035,13665
2015,ONT,77330,14110
2016,ONT,77960,14615
2017,ONT,78440,15040
2018,ONT,79495,15495
2019,ONT,80275,15935
2010,MB,8170,1155
2011,MB,8260,1135
2012,MB,8270,1110
2013,MB,8280,1050
2014,MB,8260,1045
2015,MB,8290,1060
2016,MB,8310,1060
2017,MB,8260,1030
2018,MB,8305,1025
2019,MB,8295,980
2010,SK,4465,775
2011,SK,4550,805
2012,SK,4640,815
2013,SK,4700,805
2014,SK,4740,810
2015,SK,4775,830
2016,SK,4785,830
2017,SK,4740,815
2018,SK,4715,775
2019,SK,4755,775
2010,AB,19360,2805
2011,AB,20435,3055
2012,AB,21840,3360
2013,AB,23160,3770
2014,AB,24030,3995
2015,AB,24315,4150
2016,AB,24235,4125
2017,AB,24175,4145
2018,AB,24350,4215
2019,AB,24670,4345
2010,BC,29390,1785
2011,BC,30395,1765
2012,BC,30795,1750
2013,BC,31145,1770
2014,BC,31165,1780
2015,BC,31305,1800
2016,BC,31480,1810
2017,BC,31635,1860
2018,BC,31800,1925
2019,BC,32025,1950
2010,NWT,260,25
2011,NWT,280,30
2012,NWT,280,15
2013,NWT,280,15
2014,NWT,275,15
2015,NWT,280,15
2016,NWT,280,20
2017,NWT,285,20
2018,NWT,295,35
2019,NWT,300,35
