Year,Province,Income
2010,NL,62863
2011,NL,66340
2012,NL,69500
2013,NL,72358
2014,NL,73642
2015,NL,75183
2016,NL,73589
2017,NL,74063
2018,NL,74986
2019,NL,75086
2020,NL,78040
2010,PEI,59837
2011,PEI,58610
2012,PEI,60937
2013,PEI,61631
2014,PEI,62356
2015,PEI,63660
2016,PEI,63992
2017,PEI,66692
2018,PEI,66234
2019,PEI,69205
2020,PEI,74798
2010,NS,58298
2011,NS,57621
2012,NS,59587
2013,NS,61748
2014,NS,63105
2015,NS,64717
2016,NS,64931
2017,NS,66622
2018,NS,68102
2019,NS,68815
2020,NS,74472
2010,NB,59472
2011,NB,58824
2012,NB,60344
2013,NB,61681
2014,NB,62418
2015,NB,63767
2016,NB,65074
2017,NB,66506
2018,NB,67152
2019,NB,68325
2020,NB,73222
2010,QC,56188
2011,QC,55240
2012,QC,57140
2013,QC,58395
2014,QC,59511
2015,QC,61161
2016,QC,62059
2017,QC,63999
2018,QC,64925
2019,QC,67332
2020,QC,73903
2010,ONT,73141
2011,ONT,72218
2012,ONT,73073
2013,ONT,75219
2014,ONT,76533
2015,ONT,79674
2016,ONT,80136
2017,ONT,82205
2018,ONT,83768
2019,ONT,86818
2020,ONT,94765
2010,MB,63947
2011,MB,62961
2012,MB,65747
2013,MB,68453
2014,MB,69820
2015,MB,72971
2016,MB,72772
2017,MB,75835
2018,MB,74748
2019,MB,76033
2020,MB,82483
2010,SK,73482
2011,SK,72010
2012,SK,74993
2013,SK,79495
2014,SK,79558
2015,SK,83814
2016,SK,81550
2017,SK,83538
2018,SK,82122
2019,SK,82510
2020,SK,89602
2010,Alberta,92556
2011,Alberta,89445
2012,Alberta,94900
2013,Alberta,98474
2014,Alberta,103066
2015,Alberta,108594
2016,Alberta,99059
2017,Alberta,102077
2018,Alberta,101717
2019,Alberta,104157
2020,Alberta,107480
2010,BC,71614
2011,BC,70184
2012,BC,72583
2013,BC,75292
2014,BC,76554
2015,BC,79234
2016,BC,79996
2017,BC,83217
2018,BC,82730
2019,BC,87208
2020,BC,97537
2010,YK,86905
2011,YK,87768
2012,YK,91803
2013,YK,92810
2014,YK,94698
2015,YK,96529
2016,YK,95994
2017,YK,100716
2018,YK,101079
2019,YK,102859
2020,YK,111632
2010,NWT,103943
2011,NWT,104010
2012,NWT,105010
2013,NWT,110351
2014,NWT,112141
2015,NWT,116295
2016,NWT,117651
2017,NWT,116445
2018,NWT,117098
2019,NWT,118677
2020,NWT,129892
2010,NU,101228
2011,NU,102023
2012,NU,106776
2013,NU,106122
2014,NU,109578
2015,NU,110546
2016,NU,107809
2017,NU,107709
2018,NU,106746
2019,NU,102921
2020,NU,122173
