Year,Province,Population
2010,AB,14896548
2011,AB,15119953
2012,AB,15447675
2013,AB,15859211
2014,AB,16273935
2015,AB,16548357
2016,AB,16756614
2017,AB,16945119
2018,AB,17166499
2019,AB,17422845
2020,AB,17661466
2021,AB,17777275
2010,BC,17844228
2011,BC,17998556
2012,BC,18241836
2013,BC,18498855
2014,BC,18796106
2015,BC,19082570
2016,BC,19386872
2017,BC,19681992
2018,BC,20001433
2019,BC,20339311
2020,BC,20603068
2021,BC,20814349
2010,MB,4875985
2011,MB,4927943
2012,MB,4991986
2013,MB,5051822
2014,MB,5108349
2015,MB,5164103
2016,MB,5244283
2017,MB,5327896
2018,MB,5402266
2019,MB,5470522
2020,MB,5518408
2021,MB,5535195
2010,NB,3010624
2011,NB,3021760
2012,NB,3031599
2013,NB,3033644
2014,NB,3036394
2015,NB,3037185
2016,NB,3051063
2017,NB,3063986
2018,NB,3079425
2019,NB,3104622
2020,NB,3129367
2021,NB,3153500
2010,NL,2086361
2011,NL,2098900
2012,NL,2105395
2013,NL,2109792
2014,NL,2112360
2015,NL,2113237
2016,NL,2117189
2017,NL,2114428
2018,NL,2105228
2019,NL,2096208
2020,NL,2087310
2021,NL,2081668
2010,NWT,172710
2011,NWT,173623
2012,NWT,174678
2013,NWT,175165
2014,NWT,175542
2015,NWT,176998
2016,NWT,178288
2017,NWT,179437
2018,NWT,180337
2019,NWT,180598
2020,NWT,181269
2021,NWT,181971
2010,NS,3768028
2011,NS,3777276
2012,NS,3775029
2013,NS,3764367
2014,NS,3756297
2015,NS,3749412
2016,NS,3767892
2017,NS,3797118
2018,NS,3830309
2019,NS,3876364
2020,NS,3920135
2021,NS,3958675
2010,NU,132980
2011,NU,136200
2012,NU,138527
2013,NU,140852
2014,NU,143469
2015,NU,145593
2016,NU,147504
2017,NU,149760
2018,NU,151923
2019,NU,154090
2020,NU,155821
2021,NU,157583
2010,ONT,52471658
2011,ONT,52990689
2012,ONT,53497170
2013,ONT,53981842
2014,ONT,54424197
2015,ONT,54792403
2016,ONT,55411999
2017,ONT,56199095
2018,ONT,57124073
2019,ONT,58077322
2020,ONT,58904466
2021,ONT,59296860
2010,PEI,565988
2011,PEI,574626
2012,PEI,577832
2013,PEI,576320
2014,PEI,576801
2015,PEI,578067
2016,PEI,585891
2017,PEI,598819
2018,PEI,612103
2019,PEI,627367
2020,PEI,642535
2021,PEI,654364
2010,QC,31673285
2011,QC,31976254
2012,QC,32208479
2013,QC,32409227
2014,QC,32573533
2015,QC,32691481
2016,QC,32873351
2017,QC,33168867
2018,QC,33554595
2019,QC,33960015
2020,QC,34290079
2021,QC,34402191
2010,SK,4197309
2011,SK,4257160
2012,SK,4324871
2013,SK,4389403
2014,SK,4445187
2015,SK,4482873
2016,SK,4535597
2017,SK,4594617
2018,SK,4642806
2019,SK,4686750
2020,SK,4716758
2021,SK,4719996
2010,YK,137633
2011,YK,140863
2012,YK,144284
2013,YK,145655
2014,YK,147484
2015,YK,149981
2016,YK,153109
2017,YK,157437
2018,YK,161311
2019,YK,164796
2020,YK,168191
2021,YK,171011
